event_date,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,country_code,admin_division_name,admin_division_population,longitude,latitude,temp,humidity,wind
10-05-2014 10:00,mudslide,rain,medium,above_river,0,0,US,Washington,22684,-122.0488,47.413,8.3,89,8.7
02-07-2016 09:00,landslide,downpour,small,mine,1,0,TH,Phrae,38538,100.2433,18.1639,28.7,89,1.8
08-12-2015 00:00,mudslide,rain,small,above_road,0,0,US,Washington,1993,-121.9257,47.5871,9,93,8.7
01-11-2014 00:00,landslide,downpour,medium,urban,1,0,HT,Nord,134815,-72.2152,19.745,29.5,66,3.7
23-03-2016 00:00,unknown,downpour,medium,above_road,0,0,PK,Khyber Pakhtunkhwa,0,73.2113,35.2538,11,44,2.5
21-01-2016 09:20,mudslide,rain,small,above_road,0,0,US,Washington,2826,-122.3348,47.8603,7.3,89,14.4
04-01-2015 00:00,landslide,continuous_rain,small,below_road,0,0,FJ,Central,77366,178.068,-18.089,25.1,81,10.2
21-07-2015 18:00,mudslide,continuous_rain,small,above_road,0,0,US,California,1204,-119.8577,37.6603,30.2,39,10
24-01-2016 09:30,landslide,mining,medium,mine,3,0,MM,Yangon,4477638,96.1433,16.8686,34.1,44,5.2
11-12-2014 00:00,debris_flow,continuous_rain,medium,natural_slope,0,0,CA,British Columbia,1385,-123.235,49.4736,10.1,94,14.5
28-02-2014 05:00,mudslide,downpour,medium,above_road,0,0,US,California,13769,-118.7002,34.0633,14.6,69,10.4
08-02-2015 00:00,landslide,downpour,medium,below_road,0,0,CA,British Columbia,2732,-119.1813,50.9749,7.4,76,5
11-03-2015 15:00,mudslide,continuous_rain,small,natural_slope,0,0,US,West Virginia,3191,-82.2719,37.676,13,87,7.9
15-03-2015 23:00,landslide,snowfall_snowmelt,medium,above_road,0,0,IN,Kashmir,1242,75.2966,33.0809,2.5,89,4.3
16-06-2016 23:00,mudslide,downpour,medium,above_road,0,0,KG,Jalal-Abad,23594,72.3077,41.48,18.7,84,7.9
07-08-2016 00:00,landslide,continuous_rain,medium,above_road,0,0,IN,Kashmir,48551,75.5807,32.4298,24.8,97,8.1
28-12-1998 00:00,landslide,downpour,small,above_road,0,0,US,Oregon,2045,-123.9725,44.8383,11.3,91,53.5
24-06-2015 00:00,landslide,downpour,medium,above_road,0,0,CN,Tibet Autonomous Region,86280,97.2296,31.2025,13.3,76,2.4
08-05-2014 00:00,mudslide,rain,medium,above_road,0,0,IN,Arunachal Pradesh,14927,96.174,27.9032,20,96,3.9
21-08-2015 00:00,rock_fall,tropical_cyclone,medium,above_road,0,0,PH,Cagayan Valley,0,120.6087,16.3668,21.6,95,15.4
16-02-2016 04:00,rock_fall,freeze_thaw,small,above_road,0,0,US,Kentucky,777,-82.8518,37.4698,2.7,90,7
07-08-2016 00:00,landslide,continuous_rain,medium,above_road,0,0,IN,Kashmir,20553,75.7964,33.1457,26.7,97,1.3
31-05-2015 23:00,landslide,downpour,medium,natural_slope,2,0,KE,Mombasa,799668,39.7476,-3.9636,23.1,94,15.7
17-02-2013 18:00,mudslide,downpour,small,above_road,0,0,US,Washington,103019,-122.2489,47.9582,5.3,85,10.6
14-01-2014 09:00,landslide,downpour,medium,above_road,0,0,US,Alaska,8050,-131.7228,55.4119,7.7,94,29.8
07-06-2016 00:00,rock_fall,downpour,medium,above_road,0,0,PH,Cordillera,2132,120.9527,17.0898,22.6,88,2.3
16-07-2016 23:00,landslide,downpour,medium,above_road,0,0,PK,Khyber Pakhtunkhwa,14047,73.3461,34.5396,23.6,81,2.5
27-05-2016 08:00,mudslide,downpour,small,above_road,0,0,AU,Queensland,0,151.8718,-28.8648,12.6,57,17
10-06-2015 00:00,landslide,continuous_rain,medium,below_road,0,0,US,Alabama,23330,-87.5506,33.2907,26.6,81,4.5
10-02-2014 00:00,landslide,flooding,medium,above_road,0,0,GB,Wales,0,-3.1414,51.7026,1.8,88,8.7
21-07-2015 00:00,mudslide,continuous_rain,small,above_road,0,0,US,California,8544,-120.0177,39.9213,32.8,14,6.9
26-07-2015 00:00,landslide,continuous_rain,small,above_road,0,0,IN,Himachal Pradesh,21502,76.1206,32.5606,24.3,89,3.8
05-08-2016 00:00,landslide,tropical_cyclone,small,above_road,0,0,MX,Puebla,1986,-97.1295,18.6101,20.3,55,11.1
12-08-2014 00:00,other,rain,small,mine,2,4,PK,Punjab,601600,73.0399,33.6941,28.7,77,4.6
28-03-2016 00:00,rock_fall,rain,small,mine,0,0,GB,Northern Ireland,18421,-5.7647,54.81,4.8,88,15.5
12-12-2014 23:00,landslide,monsoon,medium,deforested_slope,108,14,ID,Central Java,92990,109.7189,-7.2964,26.4,91,3.3
15-08-2009 00:00,rock_fall,downpour,medium,above_road,0,0,US,Washington,3036,-123.4048,48.0265,14,67,8
20-12-2014 00:00,landslide,rain,small,retaining_wall,0,0,US,Oregon,8466,-124.1248,44.138,10.2,86,21
17-05-2016 15:00,landslide,continuous_rain,large,natural_slope,13,0,LK,Central,24730,80.4548,7.1306,23,95,13.8
28-04-2015 00:00,landslide,continuous_rain,small,above_road,0,0,IN,Uttarakhand,13865,79.5765,30.5631,12.5,83,4.3
14-12-2008 23:00,mudslide,rain,medium,above_road,2,2,GT,Izabal,18994,-90.5316,15.3796,19.3,83,5.9
10-03-2014 00:00,landslide,downpour,unknown,above_road,0,0,US,Washington,9834,-123.1316,47.4174,12.2,89,8.9
29-11-2014 12:00,other,rain,small,above_road,0,0,US,California,1963,-120.9641,39.0718,10.2,93,15
07-12-2015 18:00,mudslide,rain,medium,above_road,0,0,US,Washington,53007,-122.3746,47.7339,9.8,92,16.6
25-02-2016 13:00,landslide,mining,small,mine,1,0,BD,Sylhet,237000,92.0104,25.1622,24.7,81,3.8
03-10-2016 00:00,landslide,downpour,small,above_road,0,0,AU,Tasmania,19972,145.9144,-41.1349,12.1,84,28.3
25-10-2015 00:00,rock_fall,earthquake,large,above_road,0,0,PK,Gilgit-Baltistan,0,74.6006,36.2792,2.4,91,2.8
11-03-2010 18:30,rock_fall,downpour,medium,above_road,0,2,HR,Splitsko-Dalmatinska,2169,16.6114,43.4574,8.5,82,1.1
12-02-2014 00:00,rock_fall,snowfall_snowmelt,medium,above_road,0,0,US,Oregon,583776,-122.6652,45.5278,8.9,90,13.3
05-10-2016 09:30,landslide,rain,medium,above_road,0,0,US,Wyoming,1847,-107.9215,44.7947,-7.6,87,5.4
25-09-2016 07:00,landslide,downpour,large,deforested_slope,1,0,ID,Central Java,92990,109.8148,-7.2454,30.3,80,8.4
05-04-2016 00:00,landslide,downpour,small,above_road,0,0,FJ,Central,77366,178.5253,-17.9785,28.5,82,12.6
15-06-2015 15:15,landslide,downpour,large,natural_slope,0,0,MY,Sabah,19294,116.5887854,6.067357382,5.5,98,2.6
15-03-2014 00:00,landslide,tropical_cyclone,large,above_road,3,0,VU,Sanma,1951,166.9182,-15.3004,28.3,71,13.4
07-01-2016 05:55,rock_fall,rain,medium,above_road,0,0,US,California,1035,-119.7269,37.6954,3.3,89,9.5
30-05-2015 15:00,landslide,continuous_rain,small,natural_slope,0,0,US,Utah,112488,-111.6324,40.2506,18.7,45,8.7
21-06-2016 23:00,debris_flow,downpour,medium,above_road,0,0,US,California,1204,-119.7826,37.6745,36.1,10,11.4
27-09-2015 00:00,landslide,downpour,medium,above_road,0,0,NI,Madriz,1257,-86.6122,13.4058,23.1,91,1.1
22-05-2010 18:00,landslide,downpour,medium,above_road,0,3,CR,Alajuela,14448,-84.4428,9.929,26.9,85,5.9
05-01-2015 06:35,mudslide,rain,medium,above_road,0,0,US,Washington,8726,-123.939,46.9838,11.6,95,22.8
30-07-2014 00:00,landslide,construction,medium,mine,0,0,IN,Maharashtra,35461,73.5036,19.678,23.8,97,9.2
21-06-2015 00:00,landslide,continuous_rain,small,natural_slope,0,0,IN,Maharashtra,58562,73.4703,18.7833,22.7,96,12.5
19-12-2014 15:00,landslide,continuous_rain,small,above_road,0,0,US,California,1620,-122.6271,37.8868,14.1,90,21.7
26-07-2015 00:00,landslide,continuous_rain,small,above_road,0,0,IN,Himachal Pradesh,28217,76.9297,31.7085,25.5,86,3.6
07-07-2015 00:00,creep,continuous_rain,small,natural_slope,0,0,US,West Virginia,2676,-82.5201,38.384,26.2,73,7.1
28-10-2015 11:00,landslide,no_apparent_trigger,medium,above_road,0,0,US,Pennsylvania,6303,-79.8506,40.5305,12.5,91,24.7
12-10-2016 00:00,landslide,downpour,medium,below_road,0,0,IN,West Bengal,10109,88.1704,26.8861,18.3,87,5.3
06-02-2016 00:00,landslide,flooding,medium,other,7,0,ID,West Sumatra,0,101.086,-1.463,23.5,97,0.7
30-11-2014 15:00,mudslide,downpour,medium,burned_area,0,0,US,California,3249,-118.9962,34.0666,16.6,82,16.2
16-08-2016 00:00,debris_flow,rain,medium,above_road,0,0,PH,Cordillera,0,120.8333,16.6319,20.4,98,5.9
18-12-2015 00:00,landslide,continuous_rain,medium,natural_slope,3,0,PH,Bicol,3119,123.6452,12.1512,25.7,88,22.4
28-05-2015 17:30,mudslide,downpour,medium,natural_slope,0,0,US,Washington,2370,-120.1105,48.2452,23.5,39,3.7
27-08-2015 15:00,mudslide,tropical_cyclone,large,above_road,20,0,DM,Saint Patrick,2608,-61.269,15.2546,,,
03-04-2015 00:00,landslide,continuous_rain,small,other,0,0,IN,Kashmir,14711,74.4203,34.0604,3,97,4.8
10-05-2015 00:00,landslide,downpour,small,above_road,0,0,US,Arkansas,1012,-93.6821,35.5008,20,93,11.3
01-07-2015 23:00,landslide,monsoon,medium,above_river,0,0,VN,Ho Chi Minh City,0,106.7188,10.8549,28.1,85,10.2
04-12-2015 00:00,landslide,downpour,unknown,natural_slope,0,0,US,North Carolina,83393,-82.5517,35.5867,3.6,56,8.9
05-08-2014 06:00,landslide,downpour,medium,urban,0,0,US,Utah,16322,-111.9024,40.8269,20.1,68,7
